"Facebook Subscribe","Facebook Subscribe"
"General Options","General Options"
"Button Plugin Code","Button Plugin Code"
"URL to Subscribe","URL to Subscribe"
"Profile URL of the user to subscribe to. This must be a facebook.com profile URL.","Profile URL of the user to subscribe to. This must be a facebook.com profile URL."
"XFBML","XFBML"
"iframe","iframe"
"HTML5","HTML5"
"Layout Style","Layout Style"
"Determines the size and amount of social context next to the button.","Determines the size and amount of social context next to the button."
"Show Faces","Show Faces"
"Show profile pictures below the button.","Show profile pictures below the button."
"Color Scheme","Color Scheme"
"The color scheme of the plugin.","The color scheme of the plugin."
"Light","Light"
"Dark","Dark"
"Font","Font"
"The font of the plugin.","The font of the plugin."
"Width","Width"
"The width of the plugin, in pixels.","The width of the plugin, in pixels."
"Content Options","Content Options"
"Display on CMS pages","Display on CMS pages"
"Display on categories page","Display on categories page"
"Display on products page","Display on products page"
"Display Custom Button","Display Custom Button"
"Display Widget Buttons","Display Widget Buttons"
"Frontend Template","Frontend Template"
