"Google Share Button","Google Share Button"
"General Options","General Options"
"Annotation","Annotation"
"Bubble(horizontal)","Bubble(horizontal)"
"Inline","Inline"
"Bubble(vertical)","Bubble(vertical)"
"None","None"
"The annotation to display next to the button.","The annotation to display next to the button."
"Size","Size"
"Applies to all meanings of "annotation" field except "Bubble(vartical)"","Applies to all meanings of "annotation" field except "Bubble(vartical)""
"Small","Small"
"Medium","Medium"
"Large","Large"
"Width","Width"
"The maximum width to allocate to the entire share plugin.Width must be a whole number, and at least 120px.Applies to the meaning "inline" of "annotation" field.","The maximum width to allocate to the entire share plugin.Width must be a whole number, and at least 120px.Applies to the meaning "inline" of "annotation" field."
"HTML5 valid syntax","HTML5 valid syntax"
"Language","Language"
"Content Options","Content Options"
"Display on CMS pages","Display on CMS pages"
"Display on categories page","Display on categories page"
"Display on products page","Display on products page"
"Display Custom Buttons","Display Custom Buttons"
"Display Widget Buttons","Display Widget Buttons"
"Display on Home page","Display on Home page"
"Frontend Template","Frontend Template"


