"Twitter Connect","Twitter Connect"
"Twitter Connect Button","Twitter Connect Button"
"Twitter Connector","Twitter Connector"
"To get &quot;Consumer key&quot; and &quot;Consumer secret&quot; register your application on &lt;a href=&quot;https://dev.twitter.com/apps&quot; target=&quot;_blank&quot;&gt;Twitter applications&lt;/a&gt;","To get &quot;Consumer key&quot; and &quot;Consumer secret&quot; register your application on &lt;a href=&quot;https://dev.twitter.com/apps&quot; target=&quot;_blank&quot;&gt;Twitter applications&lt;/a&gt;"
"Sign in with Twitter","Sign in with Twitter"
"Enable Extension","Enable Extension"
"Consumer key","Consumer key"
"Consumer secret","Consumer secret"
"Registered Callback URL","Registered Callback URL"
"Display email input field for users signed up with Twitter login","Display email input field for users signed up with Twitter login"
"Could not connect to Twitter. Try again later.","Could not connect to Twitter. Try again later."
"Please insert your email, otherwise system will remember your Twitter screenname only and you will not be able to enjoy all shop features.Remember to change your password.","Please insert your email, otherwise system will remember your Twitter screenname only and you will not be able to enjoy all shop features.Remember to change your password."
"The parameter has been saved.","The parameter has been saved."
"The parameter has been removed.","The parameter has been removed."
"An error occurred while saving your parameter.","An error occurred while saving your parameter."
"Customer My Account Twitter Post","Customer My Account Twitter Post"
"Twitter Connect Form Before","Twitter Connect Form Before"
"Twitter Post","Twitter Post"
"Post order details to Twitter","Post order details to Twitter"
"Back","Back"
"Save","Save"
"I've just purchased %1$d item(s) at %2$s - %3$s.","I've just purchased %1$d item(s) at %2$s - %3$s."
"View %s","View %s"
"View %1$s for %2$s - %3$s.","View %1$s for %2$s - %3$s."
"Content Options","Content Options"
"Display on Checkout Page","Display on Checkout Page"
"Display on Login Page","Display on Login Page"
"Display Custom Buttons","Display Custom Buttons"
"Display Widget Buttons","Display Widget Buttons"
"Frontend Template","Frontend Template"
"Button Image Src","Button Image Src"
"Button Image Alt","Button Image Alt"
"Order status to post order details to Twitter","Order status to post order details to Twitter"
"Indicate at what order status order details should be posted to user's Twitter.","Indicate at what order status order details should be posted to user's Twitter."
